"filter_sal","MPG","PPG","APG","RPG","TOPG","BPG","SPG","Trusted","Agressiveness"
2116955,16.0579710144928,7.11594202898551,2.60869565217391,1.46376811594203,1.18840579710145,0.144927536231884,0.434782608695652,"No","No"
5504420,23.8846153846154,9.21794871794872,1.64102564102564,6.5,0.846153846153846,0.705128205128205,0.756410256410256,"Yes","No"
7319035,28.5487804878049,10.2317073170732,1.68292682926829,6.08536585365854,1.46341463414634,0.646341463414634,0.878048780487805,"Yes","Yes"
27734405,32.0853658536585,15.2317073170732,3.20731707317073,7.26829268292683,1.30487804878049,1.47560975609756,0.829268292682927,"Yes","No"
9769821,23.3191489361702,11.9574468085106,1.48936170212766,6.40425531914894,0.723404255319149,0.872340425531915,0.638297872340426,"Yes","No"
6e+06,6.8,2.9,0.5,3.8,0.6,0.5,0.4,"No","No"
10845506,25.7096774193548,13.2903225806452,2.03225806451613,3.51612903225806,1.64516129032258,0.129032258064516,0.580645161290323,"Yes","Yes"
4187599,23.3461538461538,9.01282051282051,1.24358974358974,7.61538461538461,1.85897435897436,0.794871794871795,0.487179487179487,"Yes","Yes"
4961798,14.5932203389831,5.96610169491525,0.525423728813559,4.55932203389831,0.915254237288136,0.610169491525424,0.322033898305085,"No","No"
19332500,25.9876543209877,10.2716049382716,1.22222222222222,2.66666666666667,0.790123456790123,0.197530864197531,0.777777777777778,"Yes","No"
1.1e+07,22.7848101265823,7.30379746835443,1.74683544303797,6.39240506329114,1.18987341772152,1.05063291139241,0.658227848101266,"No","No"
1913345,9.35849056603774,2.60377358490566,0.660377358490566,2.66037735849057,0.415094339622642,0.188679245283019,0.30188679245283,"No","No"
23775506,32.9135802469136,16.2222222222222,0.827160493827161,14.7901234567901,1.91358024691358,1.38271604938272,1.46913580246914,"Yes","Yes"
14814815,26.6461538461538,7.03076923076923,3.36923076923077,4.04615384615385,1.21538461538462,0.292307692307692,1.12307692307692,"Yes","No"
9259259,22.1857142857143,4.81428571428571,0.671428571428571,3.58571428571429,0.5,0.6,0.757142857142857,"No","No"
2328652,20.7285714285714,5.35714285714286,2.31428571428571,7.02857142857143,1.18571428571429,1.62857142857143,0.471428571428571,"No","No"
2844429,14.6964285714286,6.85714285714286,0.446428571428571,3.58928571428571,0.732142857142857,0.392857142857143,0.178571428571429,"No","No"
7574322,35.1234567901235,20.679012345679,2.02469135802469,3.59259259259259,2.24691358024691,0.567901234567901,0.962962962962963,"Yes","Yes"
23775506,35.4754098360656,24.2786885245902,1.90163934426229,10.2786885245902,1.98360655737705,2.04918032786885,1.27868852459016,"Yes","Yes"
3290000,18.625,5.31944444444444,0.722222222222222,3.18055555555556,0.388888888888889,0.222222222222222,0.361111111111111,"No","No"
